,age,age_classification
0,0,0-4
1,1,0-4
2,2,0-4
3,3,0-4
4,4,0-4
5,5,5-9
6,6,5-9
7,7,5-9
8,8,5-9
9,9,5-9
10,10,10-14
11,11,10-14
12,12,10-14
13,13,10-14
14,14,10-14
15,15,15-19
16,16,15-19
17,17,15-19
18,18,15-19
19,19,15-19
20,20,20-24
21,21,20-24
22,22,20-24
23,23,20-24
24,24,20-24
25,25,25-29
26,26,25-29
27,27,25-29
28,28,25-29
29,29,25-29
30,30,30-34
31,31,30-34
32,32,30-34
33,33,30-34
34,34,30-34
35,35,35-39
36,36,35-39
37,37,35-39
38,38,35-39
39,39,35-39
40,40,40-44
41,41,40-44
42,42,40-44
43,43,40-44
44,44,40-44
45,45,45-49
46,46,45-49
47,47,45-49
48,48,45-49
49,49,45-49
50,50,50-54
51,51,50-54
52,52,50-54
53,53,50-54
54,54,50-54
55,55,55-59
56,56,55-59
57,57,55-59
58,58,55-59
59,59,55-59
60,60,60-64
61,61,60-64
62,62,60-64
63,63,60-64
64,64,60-64
65,65,65-69
66,66,65-69
67,67,65-69
68,68,65-69
69,69,65-69
70,70,70-74
71,71,70-74
72,72,70-74
73,73,70-74
74,74,70-74
75,75,75-79
76,76,75-79
77,77,75-79
78,78,75-79
79,79,75-79
80,80,80-84
81,81,80-84
82,82,80-84
83,83,80-84
84,84,80-84
85,85,85-89
86,86,85-89
87,87,85-89
88,88,85-89
89,89,85-89
90,90,90-94
91,91,90-94
92,92,90-94
93,93,90-94
94,94,90-94
95,95,95-99
96,96,95-99
97,97,95-99
98,98,95-99
99,99,95-99
100,100,100-104
101,101,100-104
102,102,100-104
103,103,100-104
104,104,100-104
105,105,105-109
106,106,105-109
107,107,105-109
108,108,105-109
109,109,105-109
110,110,110-114
111,111,110-114
112,112,110-114
113,113,110-114
114,114,110-114
115,115,115-119
116,116,115-119
117,117,115-119
118,118,115-119
119,119,115-119
120,120,120-124
121,121,120-124
122,122,120-124
123,123,120-124
124,124,120-124
125,125,125-129
126,126,125-129
127,127,125-129
128,128,125-129
129,129,125-129
130,130,130-134
131,131,130-134
132,132,130-134
133,133,130-134
134,134,130-134
135,135,135-139
136,136,135-139
137,137,135-139
138,138,135-139
139,139,135-139
140,140,140-144
141,141,140-144
142,142,140-144
143,143,140-144
144,144,140-144
145,145,145-149
146,146,145-149
147,147,145-149
148,148,145-149
149,149,145-149
150,150,150-154
151,151,150-154
152,152,150-154
153,153,150-154
154,154,150-154
155,155,155-159
156,156,155-159
157,157,155-159
158,158,155-159
159,159,155-159
160,160,160-164
161,161,160-164
162,162,160-164
163,163,160-164
164,164,160-164
165,165,165-169
166,166,165-169
167,167,165-169
168,168,165-169
169,169,165-169
170,170,170-174
171,171,170-174
172,172,170-174
173,173,170-174
174,174,170-174
175,175,175-179
176,176,175-179
177,177,175-179
178,178,175-179
179,179,175-179
180,180,180-184
181,181,180-184
182,182,180-184
183,183,180-184
184,184,180-184
185,185,185-189
186,186,185-189
187,187,185-189
188,188,185-189
189,189,185-189
190,190,190-194
191,191,190-194
192,192,190-194
193,193,190-194
194,194,190-194
195,195,195-199
196,196,195-199
197,197,195-199
198,198,195-199
199,199,195-199
200,200,200-204
